DL
title = "Rinconete y Cortadillo Part 2"

N = 13

format = edgelist1

labels:
Rinconete, Cortadillo, Ganchuelo, Monipodio, Maniferro, Tagarote, Gananciosa, Escalanta, Pipota, Juliana, Repolido, Chiquiznaque, Caballero

data:
1 4 15
1 5 1
2 3 1
2 4 4
3 4 4
4 1 21
4 2 13
4 3 7
4 5 8
4 6 2
4 7 5
4 8 3
4 10 5
4 11 5
4 12 5
4 13 3
5 1 2
5 2 1
5 4 5
5 11 1
6 4 2
7 1 1
7 2 1
7 4 3
7 5 2
7 8 1
7 9 1
7 10 4
7 11 1
7 12 1
8 1 1
8 2 1
8 4 4
8 5 1
8 7 2
8 10 2
8 11 1
8 12 1
9 1 1
9 2 1
9 3 1
9 4 2
9 7 2
9 8 2
10 1 1
10 2 1
10 4 7
10 5 1
10 7 3
10 8 1
10 11 4
10 12 1
11 4 3
11 5 2
11 10 5
11 12 3
12 4 3
12 13 3
13 4 4
13 12 4
;
